idCuenta,deudaPendiente,diasParaVencer
2050,500.0,2
4100,500.0,2
6150,500.0,2
8200,500.0,2
10,500.0,2
2060,500.0,2
4110,500.0,2
6160,500.0,2
8210,500.0,2
20,500.0,2
2070,500.0,2
4120,500.0,2
6170,500.0,2
8220,500.0,2
30,500.0,2
2080,500.0,2
4130,500.0,2
6180,500.0,2
8230,500.0,2
40,500.0,2
2090,500.0,2
4140,500.0,2
6190,500.0,2
8240,500.0,2
50,500.0,2
2100,500.0,2
4150,500.0,2
6200,500.0,2
8250,500.0,2
60,500.0,2
2110,500.0,2
4160,500.0,2
6210,500.0,2
8260,500.0,2
70,500.0,2
2120,500.0,2
4170,500.0,2
6220,500.0,2
8270,500.0,2
80,500.0,2
2130,500.0,2
4180,500.0,2
6230,500.0,2
8280,500.0,2
90,500.0,2
2140,500.0,2
4190,500.0,2
6240,500.0,2
8290,500.0,2
100,500.0,2
2150,500.0,2
4200,500.0,2
6250,500.0,2
8300,500.0,2
110,500.0,2
2160,500.0,2
4210,500.0,2
6260,500.0,2
8310,500.0,2
120,500.0,2
2170,500.0,2
4220,500.0,2
6270,500.0,2
8320,500.0,2
130,500.0,2
2180,500.0,2
4230,500.0,2
6280,500.0,2
8330,500.0,2
140,500.0,2
2190,500.0,2
4240,500.0,2
6290,500.0,2
8340,500.0,2
150,500.0,2
2200,500.0,2
4250,500.0,2
6300,500.0,2
8350,500.0,2
160,500.0,2
2210,500.0,2
4260,500.0,2
6310,500.0,2
8360,500.0,2
170,500.0,2
2220,500.0,2
4270,500.0,2
6320,500.0,2
8370,500.0,2
180,500.0,2
2230,500.0,2
4280,500.0,2
6330,500.0,2
8380,500.0,2
190,500.0,2
2240,500.0,2
4290,500.0,2
6340,500.0,2
8390,500.0,2
200,500.0,2
2250,500.0,2
4300,500.0,2
6350,500.0,2
8400,500.0,2
210,500.0,2
2260,500.0,2
4310,500.0,2
6360,500.0,2
8410,500.0,2
220,500.0,2
2270,500.0,2
4320,500.0,2
6370,500.0,2
8420,500.0,2
230,500.0,2
2280,500.0,2
4330,500.0,2
6380,500.0,2
8430,500.0,2
240,500.0,2
2290,500.0,2
4340,500.0,2
6390,500.0,2
8440,500.0,2
250,500.0,2
2300,500.0,2
4350,500.0,2
6400,500.0,2
8450,500.0,2
260,500.0,2
2310,500.0,2
4360,500.0,2
6410,500.0,2
8460,500.0,2
270,500.0,2
2320,500.0,2
4370,500.0,2
6420,500.0,2
8470,500.0,2
280,500.0,2
2330,500.0,2
4380,500.0,2
6430,500.0,2
8480,500.0,2
290,500.0,2
2340,500.0,2
4390,500.0,2
6440,500.0,2
8490,500.0,2
300,500.0,2
2350,500.0,2
4400,500.0,2
6450,500.0,2
8500,500.0,2
310,500.0,2
2360,500.0,2
4410,500.0,2
6460,500.0,2
8510,500.0,2
320,500.0,2
2370,500.0,2
4420,500.0,2
6470,500.0,2
8520,500.0,2
330,500.0,2
2380,500.0,2
4430,500.0,2
6480,500.0,2
8530,500.0,2
340,500.0,2
2390,500.0,2
4440,500.0,2
6490,500.0,2
8540,500.0,2
350,500.0,2
2400,500.0,2
4450,500.0,2
6500,500.0,2
8550,500.0,2
360,500.0,2
2410,500.0,2
4460,500.0,2
6510,500.0,2
8560,500.0,2
370,500.0,2
2420,500.0,2
4470,500.0,2
6520,500.0,2
8570,500.0,2
380,500.0,2
2430,500.0,2
4480,500.0,2
6530,500.0,2
8580,500.0,2
390,500.0,2
2440,500.0,2
4490,500.0,2
6540,500.0,2
8590,500.0,2
400,500.0,2
2450,500.0,2
4500,500.0,2
6550,500.0,2
8600,500.0,2
410,500.0,2
2460,500.0,2
4510,500.0,2
6560,500.0,2
8610,500.0,2
420,500.0,2
2470,500.0,2
4520,500.0,2
6570,500.0,2
8620,500.0,2
430,500.0,2
2480,500.0,2
4530,500.0,2
6580,500.0,2
8630,500.0,2
440,500.0,2
2490,500.0,2
4540,500.0,2
6590,500.0,2
8640,500.0,2
450,500.0,2
2500,500.0,2
4550,500.0,2
6600,500.0,2
8650,500.0,2
460,500.0,2
2510,500.0,2
4560,500.0,2
6610,500.0,2
8660,500.0,2
470,500.0,2
2520,500.0,2
4570,500.0,2
6620,500.0,2
8670,500.0,2
480,500.0,2
2530,500.0,2
4580,500.0,2
6630,500.0,2
8680,500.0,2
490,500.0,2
2540,500.0,2
4590,500.0,2
6640,500.0,2
8690,500.0,2
500,500.0,2
2550,500.0,2
4600,500.0,2
6650,500.0,2
8700,500.0,2
510,500.0,2
2560,500.0,2
4610,500.0,2
6660,500.0,2
8710,500.0,2
520,500.0,2
2570,500.0,2
4620,500.0,2
6670,500.0,2
8720,500.0,2
530,500.0,2
2580,500.0,2
4630,500.0,2
6680,500.0,2
8730,500.0,2
540,500.0,2
2590,500.0,2
4640,500.0,2
6690,500.0,2
8740,500.0,2
550,500.0,2
2600,500.0,2
4650,500.0,2
6700,500.0,2
8750,500.0,2
560,500.0,2
2610,500.0,2
4660,500.0,2
6710,500.0,2
8760,500.0,2
570,500.0,2
2620,500.0,2
4670,500.0,2
6720,500.0,2
8770,500.0,2
580,500.0,2
2630,500.0,2
4680,500.0,2
6730,500.0,2
8780,500.0,2
590,500.0,2
2640,500.0,2
4690,500.0,2
6740,500.0,2
8790,500.0,2
600,500.0,2
2650,500.0,2
4700,500.0,2
